1,1917973.0159163475
2,1894808.9168844223
3,1885628.2272205353
4,1883975.1480545998
5,1883620.3466062546
6,1882819.5660467148
7,1882395.3050627708
8,1878304.8849191666
9,1835027.6151452065
10,1800392.7645318508
11,1789388.8426761627
12,1785012.485441208
13,1762689.4726715088
14,1739073.389635563
15,1699397.0781202316
16,1678034.7579145432
17,1677399.297609806
18,1671866.8894381523
19,1665741.8407788277
20,1639321.7202014923
21,1638794.0780849457
22,1621489.0164365768
23,1611721.3769667149
24,1601101.3891477585
25,1591381.517027855
26,1589909.8480739594
27,1585322.264356494
28,1575212.8506877422
29,1575195.9674620628
30,1549331.4353666306
31,1547433.0297207832
32,1518043.1862380505
33,1517915.1831133366
34,1509632.4296708107
35,1503165.7826695442
36,1491354.1048817635
37,1476330.4945476055
38,1471846.9426679611
39,1443311.2553031445
40,1441915.109581232
